high_level_substr,sig_gene_seq
alpha-glucan,"LacI,GH13_31"
alpha-glucan,"LacI,GH13_45,3.A.1.1.2,3.A.1.1.2,3.A.1.1.2"
alpha-glucan,"LacI,GH32"
alpha-glucan,"LacI,GH32,4.A.1.2.12,GH32"
alpha-glucan,"LacI,GH32,PfkB,2.A.1.5.3"
alpha-glucan,"LacI,null,3.A.1.1.26,3.A.1.1.26,3.A.1.1.26,GH77,GT35"
alpha-glucan,"LacI,null,GH13_18"
alpha-glucan,"LacI,null,GH13_31,CBM34|GH13_20,GH65,null,3.A.1.1.20,3.A.1.1.27,3.A.1.1.27,3.A.1.1.27"
alpha-glucan,"null,3.A.1.1.26,3.A.1.1.26,3.A.1.1.26,CBM34|GH13_20"
alpha-glucan,"null,CBM34|GH13_39|CBM20,3.A.1.1.45,3.A.1.1.45,3.A.1.1.45,GH13_2|CBM20"
alpha-glucan,"null,GH13_46,GH97,1.B.14.6.1,8.A.46.1.1,null,null,GH13_36"
alpha-glucan,"null,GH65,CBM34|GH13_20,GH13_31,null,LacI,3.A.1.1.27,3.A.1.1.27,3.A.1.1.27,3.A.1.1.20"
alpha-glucan,"null,null,3.A.2.3.2,3.A.2.2.2,3.A.2.2.2,GH32,null,null"
alpha-glucan,"null,null,8.A.46.1.1,1.B.14.6.1,GH97,GH13_46"
alpha-glucan,"null,null,8.A.46.1.1,1.B.14.6.1,GH97,GH13_46,null"
alpha-glucan,"null,null,GH32,3.A.2.2.2,3.A.2.2.2,3.A.2.3.2,null,null"
alpha-glucan,"null,null,null,GH13_39,GT35,GT5,null,null,CBM48|GH13_9,Pyr_redox_2"
alpha-glucan,"null,null,null,GH13,GH13_36,GH65,null,2.A.2,LacI,1.B.14,null,null,GH13_7"
alpha-glucan,"null,null,null,GT35,GT5,null,CBM48|GH13_9,Pyr_redox_2"
alpha-glucan,"null,PadR,PfkB,GH32,4.A.1.2.12,LacI,MarR,null"
alpha-glucan,"null,PadR,PfkB,GH32,4.A.1.2.12,null,LacI,MarR,null"
alpha-glucan,"PfkB,GH32,4.A.1.2.12,LacI"
alpha-glucan,"PfkB,GH32,LacI,4.A.1.2.1"
alpha-glucan,"PfkB,GH32,null,3.A.1.1.10,LacI"
alpha-glucan,"PfkB,GH32,null,3.A.1.1.29,3.A.1.1.10,LacI"
alpha-glucan,"PfkB,GH36,GH13_31,LacI,GH32,GH13_18,3.A.1.1.45,3.A.1.1.45,null"
alpha-glucan,"PfkB,GH36,GH13_31,LacI,GH32,GH13_18,3.A.1.1.45,3.A.1.1.45,null,CBM86|CBM22|GH10|CBM9"
alpha-glucan,"Pyr_redox_2,CBM48|GH13_9,null,GT5,GT35,GH13_39,null,null,null"
alpha-glucan,"Pyr_redox_2,CBM48|GH13_9,null,null,GT5,GT35,GH13_39,null,null,3.A.1"
alpha-glucan,"Pyr_redox_2,CBM48|GH13_9,null,null,GT5,GT35,GH13_39,null,null,null"
alpha-glucan,"Pyr_redox_2,HTH_1,null,CBM82|CBM83|GH13_41"
alpha-glucan,"SBP_bac_1,3.A.1.1.27,3.A.1.1.27,GH13_36"
alpha-glucan,"SBP_bac_1,3.A.1,3.A.1,GH13_36"
alpha-mannan,"GH125,GH92,GH92,GH2,8.A.46.2.2,1.B.14.6.2,LacI"
alpha-mannan,"GH38,GH125,GntR,GH84,GH1,3.A.1.1.9,3.A.1.1.29"
alpha-mannan,"GH38,GH125,GntR,GH84,GH1,null,3.A.1.1.9,3.A.1.1.29"
alpha-mannan,"GH76,null,null,null,1.B.14.6.1,null,HTH_AraC,GH92,null,GH76,GH125,GH130_3,null,null,null,GT32,GT32"
alpha-mannan,"GH92,GH38|CBM32,GT32,GT32,null,null,null,GH130,GH125,GH76,null,GH92,HTH_AraC,null,1.B.14,null,null,null,GH76,null,null"
alpha-mannan,"GH92,GH38|CBM32,GT32,GT32,null,null,null,GH130,GH125,GH76,null,GH92,null,HTH_AraC,null,1.B.14,null,null,null,GH76"
alpha-mannan,"GH97,null,GH67,GH76,null,null,1.B.14,null,HTH_AraC,GH92,null,GH76,GH125"
alpha-mannan,"GH97,null,GH67,GH76,null,null,1.B.14,null,HTH_AraC,GH92,null,GH76,GH125,null,null,null,null,null,null,3.A.7,null,null,null,null,null,null"
alpha-mannan,"GH99,null,null,null,GH92,null,null,null,1.B.14.6.1,null"
alpha-mannan,"GH99,null,null,null,GH92,null,null,null,1.B.14.6.2,null"
alpha-mannan,"null,1.B.14.6.1,null,null,null,GH92,null,null,null"
alpha-mannan,"null,1.B.14.6.1,null,null,null,GH92,null,null,null,9.B.14.1.10,null"
alpha-mannan,"null,1.B.14.6.1,null,null,null,GH92,null,null,null,GH99"
alpha-mannan,"null,1.B.14.6.1,null,null,null,GH92,null,null,null,GH99,9.B.14.1.10,null"
alpha-mannan,"null,1.B.14,null,null,null,GH92,null,null,null,GH99"
alpha-mannan,"null,1.B.14,null,null,null,GH92,null,null,null,GH99,9.B.14,null,null"
alpha-mannan,"null,2.A.1.7.10,GH92,GH92,GH43_34,null,AA3,null,GH125,null,CBM32,8.A.46.1.1,1.B.14.6.1,GH92,null,GH92,null,null,null,null,null,null,GH92,GH76,LacI,null,null,null,null,GH2,null,GH92,2.A.1.7.16"
alpha-mannan,"null,2.A.1,GH92,GH92,GH43_34,null,null,null,GH125,null,CBM32,8.A.46,1.B.14,GH92,null,GH92,null,null,null,null,null,null,GH92,GH76,LacI,null,null,null,null,GH2,null,GH92,2.A.1"
alpha-mannan,"null,9.B.14.1.10,GH99,null,null,null,GH92,null,null,null,1.B.14.6.1,null"
alpha-mannan,"null,9.B.14.1.10,GH99,null,null,null,GH92,null,null,null,1.B.14.6.2,null"
alpha-mannan,"null,GH76,null,null,null,1.B.14.6.1,null,HTH_AraC,GH92,null,GH76,GH125,GH130_3,null,null,null,GT32,GT32"
alpha-mannan,"null,null,null,HTH_8,HisKA|HATPase_c|Response_reg,GH97,null,GH67,GH76,null,null,1.B.14,null,HTH_AraC,GH92,null,GH76,GH125,null"
arabinogalactan,"1.B.14.6.1,null,PL1_2,null,GH43_18,GH143|GH142,CBM67|GH78"
arabinogalactan,"1.B.14,null,PL1_2,null,GH43_18,GH143|GH142,CBM67|GH78"
arabinogalactan,"2.A.3.1.3,GH43_22|GH43_34,GH43_22|GH43_26,GH43_27,GH43_22,GH43_22,9.B.28.1.3"
arabinogalactan,"2.A.3,HTH_5,GH43_22,9.B.28"
arabinogalactan,"2.A.3,null,null,GH43_22|GH43_34,GH43_22|GH43_26,GH43_27,GH43_22,GH43_22,9.B.28"
arabinogalactan,"3.A.1.135.6,3.A.1.135.6,MarR,null,GH43_24,GH30_5,0045030,2.A.3.1.20,null,3.A.1.122.8,HTH_11,2.A.3.1.3,GH146,null,GH43_22|GH43_34,GH43_22|GH43_26,GH43_27,GH43_22,GH43_22,9.B.28.1.3,3.A.1.1.45,3.A.1.1.45,LacI,3.A.1.1.45"
arabinogalactan,"3.A.1,3.A.1,MarR,null,GH43_24,GH30_5,0045030,2.A.3,null,3.A.1,HTH_11,2.A.3,GH146,null,GH43_22|GH43_34,GH43_22|GH43_26,GH43_27,GH43_22,GH43_22,9.B.28,3.A.1,3.A.1,LacI,3.A.1"
arabinogalactan,"3.A.1,8.A.59,HTH_AraC|HTH_AraC,3.A.1,null,null,3.A.1,3.A.1,GntR,null,null,null,null,GH43_5,SBP_bac_1,3.A.1,3.A.1,GH43_4,GH51,GH51,null,null,null,null,GH127,8.A.59,HTH_AraC|HTH_AraC,SBP_bac_1,3.A.1,3.A.1,null,CE4,GH52,GH10,null,3.A.1,3.A.1,GH67,GH39,PfkB,null,GntR,null,null,null,9.B.28,null,null,AAA,null,null,null,GH43_11,null,null,null"
arabinogalactan,"GH127,GH43_34,null,GH154,HTH_AraC,null,1.B.14,null,null,GH16|GH43_24,null,GH43_24,GH145,GH105"
arabinogalactan,"GH146,1.B.14,null,null,GH43_29,GH121,1.B.14,null,null"
arabinogalactan,"GH16_3,CBM32,null,1.B.14.6.1,null,1.B.14.6.1,HTH_AraC"
arabinogalactan,"GH43_24|GH16_3,GH16_3,CBM32,null,1.B.14.6.1,null,1.B.14.6.1,HTH_AraC"
arabinogalactan,"GH43_24|GH16_3,GH16_3,CBM32,null,1.B.14.6.1,null,1.B.14.6.1,null,HTH_AraC"
arabinogalactan,"GH43_24|GH16,GH16,null,null,1.B.14,null,1.B.14,null,HTH_AraC"
arabinogalactan,"GH43_24,null,HTH_AraC|HTH_AraC,null,null,null,null,1.B.14.6.1,null,null,null,null,null,null,null,null,null,null,1.A.30.2.9,null,null,null,GH35,null"
arabinogalactan,"GH43_29,GH51_2,GH43_4,HTH_AraC|HTH_AraC,null,1.B.14.6.1,null,1.B.14.6.1,null,GH43_4"
arabinogalactan,"GH43_4,null,1.B.14.6.1,null,1.B.14.6.1,null,HTH_AraC|HTH_AraC,GH43_4,GH51_2,GH43_29"
arabinogalactan,"GH43_4,null,1.B.14,null,1.B.14,null,HTH_AraC|HTH_AraC,GH43_4,GH51,GH43_29"
